Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Calculated Load Ext (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (°),Ignition Timing (°),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI NEW (°),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.6.0-28208][2021 USDM WRX MT CCF Gen2][Reflash: Stage1+BigSF 93 v400.ptm - Realtime: Stage1+BigSF 93 v400.ptm]"
31.696,on,3.12,0.00,12.50,-5.47,14.68,0,0,0.0,14.65,14.16,-9.27,-9.30,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,405.4,437.9,0,0.0,6.00,0.97,1.501,265.0,152.6,149.0,3.98,1.00,5.38,201.8,779,0.00,3.16,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
31.756,on,3.12,0.00,12.50,-5.47,14.69,0,0,0.0,14.65,14.08,-9.22,-9.26,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,398.0,437.9,0,0.0,6.50,0.98,1.514,265.0,152.6,149.0,3.98,0.96,5.43,201.8,774,0.00,3.11,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
31.824,on,3.12,0.00,12.50,-5.47,14.65,0,0,0.0,14.65,14.00,-9.21,-9.22,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,399.5,437.9,0,0.0,6.50,0.97,1.514,265.0,152.6,149.0,3.98,1.00,5.44,201.8,770,0.00,3.09,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
31.876,on,3.12,0.00,12.50,-5.47,14.64,0,0,0.0,14.65,14.08,-9.16,-9.20,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,387.2,437.9,0,0.0,6.50,1.01,1.571,265.0,152.6,149.0,4.00,0.98,5.49,201.8,768,0.00,3.05,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
31.945,on,3.12,0.00,12.50,-5.47,14.62,0,0,0.0,14.65,14.08,-9.13,-9.16,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,394.1,437.9,0,0.0,6.50,1.00,1.571,265.0,152.6,149.0,4.01,1.00,5.52,201.8,766,0.00,3.03,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.006,on,3.12,0.00,12.50,-5.47,14.63,0,0,0.0,14.65,13.92,-9.09,-9.13,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,402.0,437.9,0,0.0,7.00,1.01,1.571,265.0,152.6,149.0,4.04,1.00,5.56,201.7,768,0.00,2.98,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.070,on,3.12,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,14.08,-9.04,-9.09,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,403.7,437.9,0,0.0,7.00,1.00,1.568,265.0,152.6,149.0,4.05,1.04,5.60,201.7,768,0.00,2.95,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.126,on,3.12,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.92,-9.03,-9.07,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,7.00,1.01,1.568,265.0,152.6,149.0,4.08,1.04,5.62,201.7,773,0.00,2.93,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.194,on,3.12,0.00,12.50,-5.47,14.62,0,0,0.0,14.65,14.08,-9.02,-9.05,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,387.3,437.9,0,0.0,7.00,1.03,1.590,265.0,152.6,149.0,4.10,1.02,5.63,201.7,777,0.00,2.90,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.246,on,3.12,0.00,12.50,-5.47,14.59,0,0,0.0,14.65,14.08,-9.02,-9.04,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,396.7,437.9,0,0.0,6.50,1.04,1.590,265.0,152.6,149.0,4.10,1.00,5.63,201.7,781,0.00,2.90,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.317,on,3.12,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,14.00,-9.03,-9.07,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,385.4,437.9,0,0.0,6.50,1.04,1.590,265.0,152.6,149.0,4.11,0.96,5.62,201.7,788,0.00,2.90,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.371,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.92,-9.05,-9.07,14.62,0.30,0.31,14.76,192.2,0.875,0,0.00,0.00,0,403.7,437.9,0,0.0,6.50,1.02,1.555,265.0,152.6,149.0,4.09,0.98,5.60,201.7,791,0.00,2.94,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.426,on,2.34,0.00,12.50,-5.47,14.59,0,0,0.0,14.65,14.00,-9.11,-9.13,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,403.3,437.9,0,0.0,6.00,1.03,1.555,265.0,152.6,149.0,4.07,0.96,5.54,201.7,793,0.00,2.95,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.505,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.92,-9.16,-9.19,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,386.4,437.9,0,0.0,6.00,1.02,1.530,265.0,152.6,149.0,4.06,0.98,5.49,201.7,797,0.00,3.02,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.567,on,3.12,0.00,12.50,-5.47,14.61,0,0,0.0,14.65,13.84,-9.23,-9.23,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,385.0,437.9,0,0.0,5.50,1.02,1.530,265.0,152.6,149.0,4.04,0.98,5.42,201.7,798,0.00,3.05,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.626,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.92,-9.26,-9.27,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,406.4,437.9,0,0.0,5.50,1.02,1.530,265.0,152.6,149.0,4.02,0.98,5.39,201.8,798,0.00,3.12,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.691,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.68,-9.29,-9.31,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,391.4,437.9,0,0.0,5.50,1.01,1.530,265.0,152.6,149.0,4.01,0.98,5.36,201.8,795,0.00,3.14,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
32.746,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.84,-9.31,-9.31,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,403.2,437.9,0,0.0,6.00,1.01,1.530,265.0,152.6,149.0,4.00,0.96,5.34,201.8,792,0.00,3.17,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.826,on,2.34,0.00,12.50,-5.47,14.61,0,0,0.0,14.65,13.92,-9.29,-9.31,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,387.5,437.9,0,0.0,6.00,1.00,1.514,265.0,152.6,149.0,3.99,0.98,5.35,201.8,789,0.00,3.18,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.886,on,2.34,0.00,12.50,-5.47,14.62,0,0,0.0,14.65,13.76,-9.28,-9.31,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,403.7,437.9,0,0.0,6.00,0.99,1.514,265.0,152.6,149.0,3.99,1.02,5.37,201.8,785,0.00,3.17,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
32.953,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.92,-9.26,-9.29,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,384.2,437.9,0,0.0,6.00,0.99,1.514,265.0,152.6,149.0,4.00,1.00,5.38,201.8,781,0.00,3.14,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.023,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.68,-9.25,-9.27,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,394.2,437.9,0,0.0,6.00,0.98,1.514,265.0,152.6,149.0,4.01,1.02,5.40,201.8,780,0.00,3.12,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.086,on,2.34,0.00,12.50,-5.47,14.60,0,0,0.0,14.65,13.76,-9.22,-9.24,14.62,0.31,0.31,14.82,192.2,0.875,0,0.00,0.00,0,409.9,437.9,0,0.0,6.50,0.99,1.514,265.0,152.6,149.0,4.05,1.00,5.43,201.8,781,0.00,3.11,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.151,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.92,-9.18,-9.22,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,389.8,437.9,0,0.0,6.50,0.99,1.530,265.0,152.6,149.0,4.05,1.00,5.47,201.8,779,0.00,3.07,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.205,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.92,-9.17,-9.19,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,399.3,437.9,0,0.0,6.50,0.99,1.530,265.0,152.6,149.0,4.06,1.04,5.48,201.8,779,0.00,3.06,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.284,on,2.34,0.00,12.50,-5.47,14.56,0,0,0.0,14.65,13.76,-9.13,-9.16,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,384.4,437.9,0,0.0,6.50,1.02,1.568,265.0,152.6,149.0,4.08,1.04,5.52,201.7,780,0.00,3.03,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.346,on,2.34,0.00,12.50,-5.47,14.55,0,0,0.0,14.65,13.92,-9.12,-9.15,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,404.6,437.9,0,0.0,6.50,1.02,1.568,265.0,152.6,149.0,4.09,1.02,5.53,201.7,781,0.00,3.01,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.416,on,2.34,0.00,12.50,-5.47,14.56,0,0,0.0,14.65,13.92,-9.11,-9.14,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,386.6,437.9,0,0.0,6.50,1.03,1.571,265.0,152.6,149.0,4.11,0.98,5.54,201.7,784,0.00,2.99,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.470,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.76,-9.11,-9.13,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,390.1,437.9,0,0.0,6.00,1.03,1.571,265.0,152.6,149.0,4.10,1.02,5.54,201.7,784,0.00,2.98,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.527,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.84,-9.11,-9.15,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,380.6,437.9,0,0.0,6.00,1.03,1.571,265.0,152.6,149.0,4.11,0.98,5.54,201.7,788,0.00,3.00,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
33.595,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.76,-9.12,-9.14,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,411.2,437.9,0,0.0,6.50,1.02,1.555,265.0,152.6,149.0,4.10,1.00,5.53,201.7,789,0.00,2.99,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
33.647,on,2.34,0.00,12.50,-5.47,14.56,0,0,0.0,14.65,13.76,-9.16,-9.17,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,403.4,437.9,0,0.0,6.50,1.02,1.555,265.0,152.6,149.0,4.10,1.00,5.49,201.7,789,0.00,3.03,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
33.716,on,2.34,0.00,12.50,-5.47,14.58,0,0,0.0,14.65,13.84,-9.17,-9.19,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,394.1,437.9,0,0.0,6.00,1.03,1.555,265.0,152.6,149.0,4.11,1.00,5.48,201.7,794,0.00,3.04,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
33.770,on,2.34,0.00,12.50,-5.47,14.58,0,0,0.0,14.65,13.92,-9.19,-9.20,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,392.0,437.9,0,0.0,6.00,1.03,1.555,265.0,152.6,149.0,4.10,1.00,5.46,201.7,793,0.00,3.05,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
33.827,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.76,-9.21,-9.24,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,385.5,437.9,0,0.0,6.00,1.03,1.555,265.0,152.6,149.0,4.10,0.98,5.43,201.7,794,0.00,3.09,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
33.888,on,2.34,0.00,12.50,-5.47,14.58,0,0,0.0,14.65,13.60,-9.22,-9.24,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,402.6,437.9,0,0.0,6.00,1.02,1.542,265.0,152.6,149.0,4.09,1.02,5.43,201.7,792,0.00,3.09,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
33.946,on,2.34,0.00,12.50,-5.47,14.57,0,0,0.0,14.65,13.92,-9.24,-9.27,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,407.6,437.9,0,0.0,6.00,1.02,1.542,265.0,152.6,149.0,4.08,1.00,5.41,201.7,790,0.00,3.12,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
34.014,on,2.34,0.00,12.50,-5.47,14.58,0,0,0.0,14.65,13.68,-9.24,-9.25,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,409.0,437.9,0,0.0,6.00,1.00,1.520,265.0,152.6,149.0,4.09,1.00,5.40,201.7,792,0.00,3.11,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
34.067,on,2.34,0.00,13.28,-5.47,14.59,0,0,0.0,14.65,13.76,-9.23,-9.27,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,398.1,437.9,0,0.0,6.00,1.00,1.520,265.0,152.6,149.0,4.09,1.00,5.42,201.7,791,0.00,3.13,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
34.131,on,2.34,0.00,13.28,-5.47,14.57,0,0,0.0,14.65,13.84,-9.24,-9.27,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,387.6,437.9,0,0.0,6.00,1.00,1.520,265.0,152.6,149.0,4.09,0.98,5.41,201.7,792,0.00,3.12,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
34.186,on,2.34,0.00,13.28,-5.47,14.57,0,0,0.0,14.65,13.76,-9.24,-9.26,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,388.7,437.9,0,0.0,7.50,1.01,1.530,265.0,152.6,149.0,4.10,0.94,5.40,201.8,793,0.00,3.11,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
34.256,on,2.34,0.00,13.28,-5.47,14.55,0,0,0.0,14.65,13.76,-9.22,-9.25,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,404.3,437.9,0,0.0,7.50,1.01,1.530,265.0,152.6,149.0,4.11,1.00,5.43,201.8,794,0.00,3.10,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
34.310,on,2.34,0.00,13.28,-5.47,14.55,0,0,0.0,14.65,13.84,-9.20,-9.21,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,409.9,437.9,0,0.0,7.50,1.03,1.549,265.0,152.6,149.0,4.13,0.94,5.45,201.8,799,0.00,3.06,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
34.444,on,2.34,0.00,13.28,-5.47,14.53,0,0,0.0,14.65,13.68,-9.14,-9.18,14.62,0.30,0.31,14.87,192.2,0.875,0,0.00,0.00,0,387.3,437.9,0,0.0,7.00,1.04,1.549,265.0,152.6,149.0,4.15,1.00,5.51,201.8,807,0.00,3.00,0.000,0.00,0.000,-6.17,5.9,0,0.00,0
34.508,on,2.34,0.00,13.28,-5.47,14.53,0,0,0.0,14.65,13.68,-9.16,-9.19,14.62,0.30,0.31,14.87,192.2,0.875,0,0.00,0.00,0,397.2,437.9,0,0.0,7.00,1.03,1.530,265.0,152.6,149.0,4.15,1.00,5.49,201.7,811,0.00,2.98,0.000,0.00,0.000,-6.21,5.9,0,0.00,0
34.570,on,1.56,0.00,13.28,-5.47,14.53,0,0,0.0,14.65,13.84,-9.16,-9.18,14.62,0.30,0.31,14.87,192.2,0.875,0,0.00,0.00,0,403.4,437.9,0,0.0,6.50,1.04,1.530,265.0,152.6,149.0,4.14,0.96,5.49,201.7,814,0.00,2.96,0.000,0.00,0.000,-6.22,5.9,0,0.00,0
34.627,on,1.56,0.00,13.28,-5.47,14.52,0,0,0.0,14.65,13.68,-9.20,-9.22,14.62,0.30,0.30,14.87,192.2,0.875,0,0.00,0.00,0,391.7,437.9,0,0.0,6.00,1.01,1.488,265.0,152.6,149.0,4.13,0.98,5.45,201.7,818,0.00,2.98,0.000,0.00,0.000,-6.24,5.9,0,0.00,0
34.693,on,1.56,0.00,13.28,-5.47,14.53,0,0,0.0,14.65,13.68,-9.23,-9.25,14.62,0.30,0.30,14.87,192.2,0.875,0,0.00,0.00,0,405.3,437.9,0,0.0,6.00,1.02,1.488,265.0,152.6,149.0,4.14,0.98,5.42,201.7,823,0.00,2.98,0.000,0.00,0.000,-6.27,5.9,0,0.00,0
34.766,on,1.56,0.00,13.28,-5.47,14.51,0,0,0.0,14.65,13.76,-9.27,-9.29,14.62,0.30,0.30,14.87,192.2,0.875,0,0.00,0.00,0,390.7,437.9,0,0.0,5.50,1.00,1.459,265.0,152.6,149.0,4.13,0.98,5.38,201.7,826,0.00,2.98,0.000,0.00,0.000,-6.29,5.9,0,0.00,0
34.826,on,1.56,0.00,11.72,-5.47,14.55,0,0,2.4,14.65,13.68,-9.31,-9.31,14.62,0.30,0.30,14.87,192.2,0.875,0,0.00,0.00,0,381.9,504.3,0,0.0,5.50,1.00,1.459,265.0,152.6,149.0,4.11,0.98,5.34,201.7,823,24.83,4.07,0.000,0.00,0.000,-5.24,6.7,0,0.00,0
34.891,on,1.56,0.00,9.38,-5.47,14.55,0,0,3.1,14.65,13.68,-9.29,-9.28,14.62,0.30,0.30,14.87,192.2,0.875,0,0.00,0.00,0,443.1,504.3,0,0.0,7.50,1.01,1.459,265.0,152.6,149.0,4.20,1.04,5.36,201.7,827,28.34,4.18,0.000,0.00,0.000,-5.11,7.1,0,0.00,0
34.947,on,1.56,0.00,6.25,-5.47,14.54,0,-1,3.1,14.65,13.84,-9.18,-9.23,14.62,0.30,0.31,14.87,192.2,0.875,0,0.00,0.00,0,446.8,504.3,0,0.0,9.50,0.95,1.376,265.0,152.6,149.0,4.28,1.10,5.47,201.7,828,29.93,4.19,0.000,0.00,0.000,-5.04,7.1,0,0.00,0
35.008,on,1.56,0.00,5.47,-5.47,14.57,0,-1,3.5,14.65,13.84,-9.10,-9.15,14.62,0.31,0.32,14.82,192.2,0.875,0,0.00,0.00,0,450.1,504.3,0,0.0,10.00,0.96,1.376,265.0,152.6,149.0,4.39,1.10,5.55,201.7,833,31.85,4.16,0.000,0.00,0.000,-4.98,7.1,0,0.00,0
35.083,on,1.56,0.00,3.91,-5.47,14.58,0,-2,3.5,14.65,13.68,-8.99,-9.05,14.62,0.31,0.32,14.82,192.2,0.875,0,0.00,0.00,0,486.2,583.9,0,0.0,11.00,0.92,1.322,265.0,152.6,149.0,4.49,1.04,5.66,201.7,835,31.43,4.06,0.000,0.00,0.000,-5.01,7.1,0,0.00,0
35.157,on,1.56,0.00,2.34,-5.47,14.57,0,-4,3.5,14.65,13.76,-8.94,-8.95,14.62,0.32,0.33,14.82,192.2,0.875,0,0.00,0.00,0,526.9,583.9,0,0.0,12.50,0.92,1.322,265.0,152.6,149.0,4.56,1.04,5.71,201.7,837,31.41,3.94,0.000,0.00,0.000,-5.01,7.1,0,0.00,0
35.221,on,1.56,0.00,2.34,-5.47,14.59,0,-5,3.5,14.65,13.84,-8.83,-8.85,14.62,0.32,0.33,14.82,192.2,0.875,0,0.00,0.00,0,571.4,583.9,0,0.0,13.50,0.86,1.226,265.0,152.6,149.0,4.62,1.08,5.81,201.7,840,31.00,3.83,0.000,0.00,0.000,-5.04,7.1,0,0.00,0
35.276,on,1.56,0.00,2.34,-5.47,14.60,0,-7,3.5,14.65,13.52,-8.75,-8.80,14.62,0.32,0.33,14.82,192.2,0.875,0,0.00,0.00,0,583.9,583.9,0,0.0,14.50,0.86,1.226,265.0,152.6,149.0,4.66,1.06,5.90,201.7,841,30.21,3.73,0.000,0.00,0.000,-5.08,7.1,0,0.00,0
35.347,on,1.56,0.00,2.34,-5.47,14.59,0,-11,3.1,14.65,13.76,-8.66,-8.70,14.62,0.32,0.34,14.82,192.2,0.875,0,0.00,0.00,0,585.8,583.9,0,0.0,16.00,0.86,1.219,265.0,152.6,149.0,4.71,1.08,5.99,201.7,842,29.43,3.61,0.000,0.00,0.000,-5.10,7.1,0,0.00,0
35.401,on,2.34,0.00,2.34,-5.47,14.61,0,-12,3.1,14.65,13.52,-8.58,-8.61,14.62,0.34,0.34,14.76,192.2,0.875,0,0.00,0.00,0,591.5,583.9,0,0.0,16.50,0.85,1.219,265.0,152.6,149.0,4.71,1.10,6.07,201.7,836,29.06,3.52,0.000,0.00,0.000,-5.11,7.5,0,0.00,0
35.458,on,2.34,0.00,2.34,-5.47,14.62,0,-16,3.1,14.65,13.84,-8.50,-8.51,14.62,0.34,0.34,14.76,192.2,0.875,0,0.00,0.00,0,605.2,583.9,0,0.0,18.00,0.85,1.219,265.0,152.6,149.0,4.76,1.12,6.15,201.7,835,28.69,3.41,0.000,0.00,0.000,-5.12,7.5,0,0.00,0
35.517,on,2.34,0.00,2.34,-5.47,14.64,0,-17,3.1,14.65,13.68,-8.31,-8.37,14.62,0.34,0.35,14.76,192.2,0.875,0,0.00,0.00,0,580.5,583.9,0,0.0,18.00,0.87,1.254,265.0,152.6,149.0,4.79,1.12,6.34,201.7,830,28.73,3.27,0.000,0.00,0.000,-5.12,7.5,0,0.00,0
35.585,on,2.34,0.00,2.34,-5.47,14.69,0,-18,3.1,14.65,13.68,-8.22,-8.24,14.62,0.35,0.35,14.76,192.2,0.875,0,0.00,0.00,0,574.5,583.9,0,0.0,17.50,0.87,1.254,265.0,152.6,149.0,4.84,1.14,6.43,201.7,829,28.31,3.15,0.000,0.00,0.000,-5.12,7.5,0,0.00,0
35.637,on,2.34,0.00,2.34,-5.47,14.71,0,-18,3.1,14.65,13.60,-8.07,-8.12,14.62,0.35,0.35,14.76,192.2,0.875,0,0.00,0.00,0,548.2,583.9,0,0.0,17.50,0.92,1.322,265.0,152.6,149.0,4.93,1.14,6.58,201.7,833,27.90,2.99,0.000,0.00,0.000,-5.15,7.5,0,0.00,0
35.716,on,2.34,0.00,2.34,-5.47,14.75,0,-19,3.1,14.65,13.76,-7.93,-7.99,14.62,0.35,0.36,14.76,192.2,0.875,0,0.00,0.00,0,558.4,583.9,0,0.0,17.50,0.92,1.322,265.0,152.6,149.0,5.03,1.14,6.72,201.7,840,28.23,2.83,0.000,0.00,0.000,-5.16,7.5,0,0.00,0
35.855,on,3.12,0.00,2.34,-5.47,14.88,0,-18,3.1,14.65,13.68,-7.71,-7.76,14.63,0.36,0.37,14.64,192.2,0.875,0,0.00,0.00,0,596.7,650.3,0,0.0,17.50,0.99,1.382,265.0,152.6,149.0,5.26,1.12,6.94,201.8,857,29.30,2.58,0.000,0.00,0.000,-5.18,7.9,0,0.00,0
35.906,on,3.12,0.00,2.34,-5.47,14.95,0,-18,3.1,14.65,13.84,-7.61,-7.68,14.63,0.36,0.37,14.64,192.2,0.875,0,0.00,0.00,0,591.1,650.3,0,0.0,17.50,1.00,1.370,265.0,152.6,149.0,5.43,1.16,7.04,201.8,874,29.54,2.44,0.000,0.00,0.000,-5.24,7.9,0,0.00,0
35.976,on,3.12,0.00,2.34,-5.47,15.00,0,-18,3.5,14.65,13.84,-7.55,-7.60,14.63,0.37,0.38,14.64,192.2,0.875,0,0.00,0.00,0,575.3,650.3,0,0.0,17.50,1.01,1.370,265.0,152.6,149.0,5.55,1.16,7.10,201.8,886,30.59,2.37,0.000,0.00,0.000,-5.24,7.9,0,0.00,0
36.036,on,3.91,0.00,2.34,-5.47,15.06,0,-17,3.9,14.65,13.76,-7.54,-7.56,14.63,0.37,0.38,14.59,192.2,0.875,0,0.00,0.00,0,622.2,650.3,0,0.0,17.50,1.04,1.376,265.0,152.6,149.0,5.73,1.16,7.11,201.8,908,31.98,2.30,0.000,0.00,0.000,-5.26,8.3,0,0.00,0
36.102,on,3.91,0.00,2.34,-5.47,15.15,0,-17,4.3,14.65,13.44,-7.49,-7.52,14.63,0.37,0.38,14.59,192.2,0.875,0,0.00,0.00,0,578.8,650.3,0,0.0,17.50,1.07,1.376,265.0,152.6,149.0,5.93,1.14,7.16,201.8,930,36.58,2.36,0.000,0.00,0.000,-5.16,8.7,0,0.00,0
36.157,on,4.69,0.00,2.34,-5.47,15.12,0,-16,5.5,14.65,13.68,-7.47,-7.50,14.64,0.37,0.38,14.53,192.2,0.875,0,0.00,0.00,0,620.7,650.3,0,0.0,18.00,1.12,1.405,265.0,152.6,149.0,6.12,1.20,7.18,201.8,954,42.34,2.54,0.000,0.00,0.000,-4.97,8.7,0,0.00,0
36.228,on,4.69,0.00,2.34,-5.47,15.20,0,-16,5.9,14.65,13.68,-7.39,-7.45,14.64,0.39,0.39,14.53,192.2,0.875,0,0.00,0.00,0,625.6,650.3,0,0.0,18.00,1.15,1.405,265.0,152.6,149.0,6.35,1.18,7.26,201.8,978,45.58,2.60,0.000,0.00,0.000,-4.87,8.7,0,0.00,0
36.277,on,4.69,0.00,2.34,-5.47,15.25,0,-16,6.3,14.65,13.60,-7.31,-7.39,14.64,0.39,0.39,14.53,192.2,0.875,0,0.00,0.00,0,642.0,650.3,0,0.0,18.00,1.21,1.446,265.0,152.6,149.0,6.62,1.24,7.34,201.8,1004,49.71,2.67,0.000,0.00,0.000,-4.74,9.1,0,0.00,0
36.343,on,5.47,0.00,2.34,-5.47,15.24,2,-16,7.1,14.65,13.68,-7.19,-7.28,14.64,0.39,0.40,14.53,192.2,0.875,0,0.00,0.00,0,604.0,729.9,0,0.0,18.00,1.25,1.446,265.0,152.6,149.0,6.90,1.30,7.46,201.8,1033,55.58,2.82,0.000,0.00,0.000,-4.50,9.8,0,0.00,0
